Institution,INST,Students,"Hispanic/Latino, any race",Black/African American,American Indian or Alaska Native,Native Hawaiian or Pacific Islander,Asian,White,Two or More Races,Foreign/Non-Resident Alien,Unknown,Male,Female,Lower Division Certificate,Associate,Bachelor's,Master's,Doctorate
Capitol Technology University,IND,740,64,205,NaN,NaN,33,305,28,41,59,570,170,1,1,94,39,41
Goucher College,IND,2168,135,407,NaN,NaN,83,1126,50,34,326,651,1517,0,0,305,155,0
Hood College,IND,2052,194,284,NaN,NaN,72,1264,87,105,41,728,1324,0,0,222,221,11
Johns Hopkins University,IND,27079,2372,2059,42,30,3876,11016,1052,5596,1036,12578,14501,0,0,1405,6806,660
Loyola University of Maryland,IND,5473,542,488,NaN,NaN,193,4007,152,59,28,2100,3373,0,0,917,720,22
Maryland Institute College of Art,IND,2227,206,200,NaN,NaN,208,803,95,617,94,585,1642,0,0,359,260,0
McDaniel College,IND,2940,174,482,NaN,NaN,68,1751,NaN,NaN,455,1050,1890,0,0,319,232,0
Mount St. Mary's University,IND,2362,276,346,13,13,73,1454,101,54,32,1225,1137,0,0,372,190,0
Notre Dame of Maryland University,IND,2277,197,517,NaN,NaN,125,1087,76,29,10,301,1976,0,0,163,336,56
St. John's College,IND,542,33,10,NaN,NaN,21,347,20,101,240,293,249,0,0,124,27,0
Stevenson University,IND,3579,249,949,10,NaN,130,1955,167,NaN,95,1197,2382,0,0,800,250,0
Washington Adventist University,IND,1078,182,486,NaN,NaN,37,50,21,127,171,349,729,0,10,167,72,0
Washington College,IND,1288,82,140,NaN,NaN,49,882,NaN,61,67,519,769,0,0,318,0,0
Bais HaMedrash and Mesivta of Baltimore,PRIV,72,NaN,NaN,NaN,NaN,NaN,69,NaN,NaN,NaN,72,NaN,0,0,19,0,0
Faith Theological Seminary,PRIV,114,NaN,65,NaN,NaN,12,NaN,NaN,29,NaN,56,58,0,0,6,15,15
Lincoln College of Technology,PRIV,530,95,285,NaN,NaN,23,93,17,NaN,14,486,44,362,30,0,0,0
Maryland University of Integrative Health,PRIV,891,19,164,NaN,NaN,42,548,12,31,63,88,803,0,0,0,133,23
Ner Israel Rabbinical College,PRIV,443,NaN,NaN,NaN,NaN,NaN,408,NaN,35,NaN,443,NaN,0,0,47,19,9
Reid Temple Bible College,PRIV,19,NaN,19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0
SANS Technology Institute,PRIV,668,58,42,NaN,NaN,37,332,26,29,142,604,64,0,0,0,16,0
St. Mary's Seminary and University,PRIV,161,NaN,53,NaN,NaN,NaN,86,NaN,16,NaN,93,68,0,0,1,20,0
Women's Institute of Torah Seminary,PRIV,119,NaN,NaN,NaN,NaN,NaN,119,NaN,NaN,NaN,NaN,119,0,0,41,0,0
Yeshiva College of the Nation's Capital,PRIV,18,NaN,NaN,NaN,NaN,NaN,18,NaN,NaN,NaN,18,NaN,0,0,8,0,0
